predictor,clinical_meaning,inferential_role,row_type,model_analysis_N,model_events,model_non_events,model_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,hypothesis_type,raw_p,bh_q,in_bh_family,fit_status,separation_status,support_status,rarity_support_status,current_compact_ridge_member,historical_lasso_selection_frequency,historical_lasso_sign_consistency,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,adjusted_fit_status
endo_resection_no_resection,No endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,4.732758620689655,1.0289934838130719,21.767877556143276,0.045860525267677026,,,binary_coefficient,0.045860525267677026,0.18955683777306506,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.52,0.9230769230769231,2.7180247152828265,0.5136283434382929,14.383276248803513,0.23950529823167443,OK
endo_resection_ovarian_endometrioma_bilateral,Bilateral ovarian endometrioma resected,BINARY,source,431.0,61.0,370.0,430.0,0.46779661016949176,0.10756441064371335,2.0344430576662793,0.31106858555921557,,,binary_coefficient,0.31106858555921557,0.5759981199616601,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.42,1.0,0.37614305383134156,0.08046810321748478,1.758256890474644,0.21396730917015339,OK
endo_resection_ovarian_endometrioma_unilateral,Unilateral ovarian endometrioma resected,BINARY,source,431.0,61.0,370.0,430.0,0.9105555555555557,0.45021386562951077,1.8415945910368243,0.7942910828420253,,,binary_coefficient,0.7942910828420253,0.8995775974385339,True,OK,none,OK,REVIEW_REQUIRED,False,0.1,1.0,0.823581547176531,0.40492475603480266,1.6750928530321587,0.5920797925392732,OK
endo_resection_uterus,Uterine endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.08,1.0,,,,,NOT_FITTED
endometrioma,Endometrioma present,BINARY,source,431.0,61.0,370.0,430.0,0.8349867724867727,0.4811191569707717,1.4491273110337468,0.5214344961457014,,,binary_coefficient,0.5214344961457014,0.7625108499476593,True,OK,none,OK,REVIEW_REQUIRED,False,0.0,,0.7069644202946145,0.39359200397783284,1.269839545801975,0.2458441885662218,OK
endometrioma_presence_laterality,Endometrioma laterality,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,SEE_LEVEL_SUPPORT,INSUFFICIENT_SUPPORT,False,0.08,,,,,,NOT_FITTED
endometrioma_size_status,Endometrioma size category,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.4059050586915042,,categorical_omnibus,0.4059050586915042,0.6622661483914015,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,,,,,0.4784970930802498,OK
endometriosis_surgery,Prior endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,0.8971774193548387,0.5211252049499652,1.5445948769211648,0.6954661434973904,,,binary_coefficient,0.6954661434973904,0.860083495113267,True,OK,none,OK,REVIEW_REQUIRED,False,0.0,,0.7801967128271836,0.43579782237601367,1.3967644615285393,0.4035204218280306,OK
peritoneal_endometriosis,Peritoneal endometriosis phenotype,BINARY,source,431.0,61.0,370.0,430.0,0.9719434773704687,0.5405156758884984,1.7477275227034734,0.9242709780400833,,,binary_coefficient,0.9242709780400833,0.9298003548340266,True,OK,none,OK,REVIEW_REQUIRED,False,0.08,0.75,1.1411974554578006,0.6140889168427863,2.120754171951243,0.6761401590775427,OK
vaginal_opening_during_surgery,Vaginal opening performed during endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,1.6494360902255647,0.5905574765295513,4.606900299910872,0.33961202901778575,,,binary_coefficient,0.33961202901778575,0.5759981199616601,True,OK,none,OK,REVIEW_REQUIRED,False,0.4,1.0,1.550685945316082,0.5199148278760473,4.625040049009946,0.4313851643257377,OK
