predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
severe_PET_cat,CATEGORICAL,level,present,absent,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,2.0,1.0,1.0,2.0,6.016949152542376,0.3676388494466513,98.47620064846821,0.20827433105786308,,,,categorical level-specific contrast vs reference
severe_PET_cat,CATEGORICAL,level,not_documented,absent,,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,,,,,15.0,1.0,14.0,15.0,0.42978208232445547,0.055075854826914544,3.3537861349158646,0.42047762573517433,,,,categorical level-specific contrast vs reference
endometrioma_presence_laterality,CATEGORICAL,source,,none,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,,,,Standard categorical logistic MLE not reliably estimable: category(ies) ['laterality_unknown'] have a zero outcome cell (0 events or 0 non-events) -> complete separation within a category. The affected category is retained (not collapsed); no OR/CI/coefficient p is reported from the full model.
endometrioma_presence_laterality,CATEGORICAL,level,unilateral,none,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,none,OK,431.0,61.0,370.0,430.0,,,,,125.0,14.0,111.0,124.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
endometrioma_presence_laterality,CATEGORICAL,level,bilateral,none,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,none,OK,431.0,61.0,370.0,430.0,,,,,63.0,11.0,52.0,63.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
endometrioma_presence_laterality,CATEGORICAL,level,laterality_unknown,none,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,,,,,5.0,0.0,5.0,5.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
clexane_during_pregnancy,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,16.0,415.0,2.0,59.0,,,,,0.8619854721549637,0.1903216005729754,3.9040179988467383,0.8471887946775306,,,,
smoking,CATEGORICAL,source,,non_smoker,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,,,,Standard categorical logistic MLE not reliably estimable: category(ies) ['former_smoker'] have a zero outcome cell (0 events or 0 non-events) -> complete separation within a category. The affected category is retained (not collapsed); no OR/CI/coefficient p is reported from the full model.
smoking,CATEGORICAL,level,former_smoker,non_smoker,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,431.0,61.0,370.0,430.0,,,,,1.0,0.0,1.0,1.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
smoking,CATEGORICAL,level,current_smoker,non_smoker,,,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,none,OK,431.0,61.0,370.0,430.0,,,,,38.0,8.0,30.0,38.0,,,,,,,,"Standard categorical MLE not reliably estimable (at least one category has a zero outcome cell); descriptive counts only, no OR/CI/coefficient p."
adenomyosis_features_unknown,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,39.0,392.0,6.0,55.0,,,,,1.11404958677686,0.4450649851990384,2.7885960996070156,0.8175447826445168,,,,
adenomyosis_feature_3,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,46.0,385.0,7.0,54.0,,,,,1.1001899335232665,0.4672160513784182,2.590702708639521,0.8270310169999425,,,,
derived_endo_surgery_adhesion_status,CATEGORICAL,source,,no_prior_endo_surgery,,,OK,none,SEE_LEVEL_SUPPORT,431.0,61.0,370.0,430.0,,,,,,,,,,,,,0.7999274889930901,,,"categorical source-level omnibus test (one p-value per source predictor); see the per-level rows below for level-specific support_status (support_status here is SEE_LEVEL_SUPPORT, not an eligibility filter)"
derived_endo_surgery_adhesion_status,CATEGORICAL,level,prior_surgery_without_documented_adhesions,no_prior_endo_surgery,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,86.0,13.0,73.0,85.0,1.022536456031816,0.5047042688471868,2.0716702204686217,0.9506711078425628,,,,categorical level-specific contrast vs reference
derived_endo_surgery_adhesion_status,CATEGORICAL,level,prior_surgery_with_documented_adhesions,no_prior_endo_surgery,,,OK,none,OK,431.0,61.0,370.0,430.0,,,,,136.0,17.0,119.0,136.0,0.8202764976958522,0.4335488979665795,1.5519668849995343,0.542550370392926,,,,categorical level-specific contrast vs reference
CS,DESCRIPTIVE_ONLY,source,,,,,NOT_FITTED,,,,,,,,,,,,,,,,,,,,,,"DESCRIPTIVE_ONLY — retained for description, not fitted in the primary whole-cohort univariable analysis."
