exposure,exposure_class,primary_fit_status,primary_or,primary_ci_low,primary_ci_high,primary_p,sensitivity_fit_status,sensitivity_or,sensitivity_ci_low,sensitivity_ci_high,sensitivity_p,log_or_diff,direction_consistent,estimability_changed,notes
endo_resection_adhesiolysis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.6637199561396327,0.35082234980432997,1.2556901817221648,0.2076534326739442,OK,0.7114020635869918,0.3637581287625889,1.3912895851906526,0.31973102849639945,0.06937745253898026,True,False,
endo_resection_adnexa,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.5518267718362717,0.05129886347535462,5.936053266785083,0.623772676120499,OK,0.5291369112612215,0.043281923728549866,6.468886933377685,0.6182633753626605,-0.04198696805809932,True,False,
endo_resection_fallopian_tube,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.2982808168429457,0.08020417035435325,1.1093119634977413,0.07104938441207377,OK,0.32424772352306347,0.0858451085593132,1.2247242501562767,0.0967139563559412,0.08347242124330823,True,False,
endo_resection_lesion,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.6326234443721068,0.3447877591332791,1.1607500897806653,0.1392484508400493,OK,0.6715062198106042,0.3586014877639229,1.2574420871928471,0.2134146289347304,0.05964790795627656,True,False,
endo_resection_no_resection,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,2.7180247152828265,0.5136283434382929,14.383276248803513,0.23950529823167443,OK,2.4736023587474736,0.4425958851085034,13.82459447787466,0.3022755286254418,-0.09422987589562959,True,False,
endo_resection_ovarian_endometrioma_bilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.37614305383134156,0.08046810321748478,1.758256890474644,0.21396730917015339,OK,0.38432608400726587,0.08423421704606218,1.7535218350470205,0.21691670429895837,0.02152183599323365,True,False,
endo_resection_ovarian_endometrioma_unilateral,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,0.823581547176531,0.40492475603480266,1.6750928530321587,0.5920797925392732,OK,0.8749701380528796,0.4209675533328134,1.8186027317858864,0.7204879099981565,0.06052718801253132,True,False,
endometrioma,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,0.7069644202946145,0.39359200397783284,1.269839545801975,0.2458441885662218,OK,0.7379800736972688,0.4113826472475441,1.3238637867156116,0.3081900219187277,0.042936484097052974,True,False,
endometrioma_size_status,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,,,,0.4784970930802498,OK,,,,0.5245787125628736,,,False,categorical multi-level source: log-OR difference not applicable; compare omnibus p only.
endometriosis_surgery,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,0.7801967128271836,0.43579782237601367,1.3967644615285393,0.4035204218280306,OK,0.8349809689113896,0.4502059161926126,1.5486096325440584,0.5671621505366111,0.06786284904835779,True,False,
peritoneal_endometriosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,OK,1.1411974554578006,0.6140889168427863,2.120754171951243,0.6761401590775427,OK,1.1319551222817068,0.6081436192374651,2.106940463284659,0.6957903962482881,-0.00813177627956703,True,False,
vaginal_opening_during_surgery,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,OK,1.550685945316082,0.5199148278760473,4.625040049009946,0.4313851643257377,OK,1.7032732586445207,0.5675194872034676,5.111965067330641,0.34225004428954475,0.09385446762594957,True,False,
