exposure,exposure_class,row_type,level,reference_level,model_variant,comparison,n,events,non_events,unique_subject_groups,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,fit_status,separation_status,support_status,caution_flag,caution_reason,notes,bh_q,in_bh_family,missingness_loss_n,missingness_loss_pct
bowel_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,1.0026522815190166,0.37962835602315975,2.6481467511187673,0.9957350231032143,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,0.9957350231032144,True,0,0.0
bowel_lesion_resected,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,1.1006415543911048,0.4155634518531452,2.915106768534026,0.8469889191560712,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,,False,0,0.0
cs_scar_endometriosis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,5.615573411297285,1.6408845161938406,19.218089040669437,0.00597942745330024,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,0.15546511378580624,True,0,0.0
cs_scar_endometriosis,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,6.112720214232169,1.894676640292753,19.721227159748555,0.0024513997485735603,OK,none,OK,True,Binary operative-finding indicator: contrast is finding/procedure present vs a heterogeneous value-0 group containing both operated-negative and never-operated women.,,,False,0,0.0
deep_endometriosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.7379605016917524,0.40351825021607113,1.3495937340269857,0.3238509700872432,OK,none,OK,False,,,0.7016771018556934,True,0,0.0
deep_endometriosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.7737659619738576,0.41899212238355404,1.4289379965030804,0.41249425175558674,OK,none,OK,False,,,,False,0,0.0
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,no_prior_endo_surgery,PRIMARY,categorical source-level omnibus (cluster-robust Wald),431,61,370,430,,,,0.30344850599153933,OK,none,SEE_LEVEL_SUPPORT,False,,,0.7016771018556934,True,0,0.0
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_without_documented_adhesions,no_prior_endo_surgery,PRIMARY,prior_surgery_without_documented_adhesions vs. no_prior_endo_surgery,86,13,73,85,1.1103773267580395,0.5151913699479583,2.3931647145076873,0.7892944608178213,OK,none,OK,False,,,,False,345,80.04640371229698
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,level,prior_surgery_with_documented_adhesions,no_prior_endo_surgery,PRIMARY,prior_surgery_with_documented_adhesions vs. no_prior_endo_surgery,136,17,119,136,0.6221029713303838,0.3146980446723964,1.2297887244293988,0.17222556855084137,OK,none,OK,False,,,,False,295,68.44547563805105
derived_endo_surgery_adhesion_status,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,no_prior_endo_surgery,SENSITIVITY_IVF,categorical source-level omnibus (cluster-robust Wald),431,61,370,430,,,,0.4001709611242199,OK,none,SEE_LEVEL_SUPPORT,False,,,,False,0,0.0
