predictor,earliest_stage,domain,endometriosis_specific,inferential_role,publication_status,N_nonmissing,missing_n,missing_pct,unique_values,value_1_rows,value_1_unique_subjects
oligohydramnios,1,fetal_placental,False,BINARY,APPROVED,431,0,0.0,2,23.0,23.0
adenomyosis_feature_9,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,4.0,4.0
G,1,obstetric_history,False,COUNT,APPROVED,431,0,0.0,9,,
derived_placental_dysfunction_proxy,1,placental_dysfunction,False,BINARY,APPROVED,416,15,3.5,2,28.0,28.0
derived_diabetes_type_grouped,1,diabetes,False,CATEGORICAL,APPROVED,431,0,0.0,4,,
indication_for_induction_status,3,labor_induction,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,431,0,0.0,22,,
adenomyosis_feature_10,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,10.0,10.0
derived_prior_endo_surgery_procedure_status,1,prior_endo_surgery,True,CATEGORICAL,APPROVED,431,0,0.0,3,,
any_PET_cat,1,pregnancy_complication,False,CATEGORICAL,APPROVED,431,0,0.0,3,,
derived_hypertension_pih_pet_spectrum,1,hypertension,False,CATEGORICAL,APPROVED,416,15,3.5,3,,
adenomyosis_feature_2,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,6.0,6.0
endometrioma_size_status,1,endometriosis_phenotype,True,CATEGORICAL,APPROVED,431,0,0.0,4,,
severe_PET_cat,1,pregnancy_complication,False,CATEGORICAL,APPROVED,431,0,0.0,3,,
endometrioma_presence_laterality,1,endometriosis_phenotype,True,CATEGORICAL,APPROVED,431,0,0.0,4,,
clexane_during_pregnancy,1,treatment_medication,False,BINARY,APPROVED,431,0,0.0,2,16.0,16.0
smoking,1,demographics,False,CATEGORICAL,APPROVED,431,0,0.0,3,,
adenomyosis_features_unknown,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,39.0,39.0
adenomyosis_feature_3,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,46.0,46.0
derived_endo_surgery_adhesion_status,1,prior_endo_surgery,True,CATEGORICAL,APPROVED,431,0,0.0,3,,
CS,1,obstetric_history,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,431,0,0.0,3,,
endo_resection_no_resection,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,7.0,7.0
adenomyosis_feature_1,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,69.0,69.0
peritoneal_endometriosis,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,299.0,298.0
adenomyosis_feature_6,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,4.0,4.0
adenomyosis_feature_7,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,1.0,1.0
adenomyosis_feature_11,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,1.0,1.0
adenomyosis_feature_8,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,1.0,1.0
induction_any_bin,3,unknown,False,BINARY,APPROVED,431,0,0.0,2,194.0,194.0
placental_abruption,2,unknown,False,BINARY,APPROVED,431,0,0.0,2,4.0,4.0
magnesium,1,treatment_medication,False,BINARY,APPROVED,431,0,0.0,2,8.0,8.0
mild_PET,1,pregnancy_complication,False,BINARY,APPROVED,431,0,0.0,2,8.0,8.0
PPROM,2,obstetric,False,BINARY,APPROVED,431,0,0.0,2,17.0,17.0
EUP,1,obstetric_history,False,BINARY,APPROVED,431,0,0.0,2,17.0,17.0
PIH,1,pregnancy_complication,False,BINARY,APPROVED,431,0,0.0,2,10.0,10.0
polyhydramnios,1,fetal_placental,False,BINARY,APPROVED,431,0,0.0,2,18.0,18.0
LIVE_BIRTH,1,obstetric_history,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,431,0,0.0,6,,
endo_resection_fallopian_tube,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,27.0,27.0
endo_resection_ovarian_endometrioma_bilateral,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,27.0,27.0
endo_resection_appendix,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,4.0,4.0
endo_resection_adnexa,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,11.0,11.0
vaginal_opening_during_surgery,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,24.0,24.0
celestone,1,treatment_medication,False,BINARY,APPROVED,431,0,0.0,2,35.0,35.0
intrapartum_fever_or_chorioamnionitis_bin,3,unknown,False,BINARY,APPROVED,431,0,0.0,2,29.0,29.0
diabetes_type,1,pregnancy_complication,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,431,0,0.0,6,,
bladder_lesion_resected,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,16.0,16.0
mode_of_conception,1,conception,False,CATEGORICAL,APPROVED,431,0,0.0,4,,
endo_resection_lesion,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,174.0,173.0
Fetus_Anamoly,1,fetal_placental,False,BINARY,APPROVED,431,0,0.0,2,35.0,35.0
endo_resection_adhesiolysis,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,145.0,145.0
bowel_lesion_resected,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,37.0,37.0
endo_resection_ovarian_endometrioma_unilateral,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,83.0,82.0
height,1,anthropometric,False,CONTINUOUS,APPROVED,363,68,15.8,33,,
AB,1,obstetric_history,False,COUNT,APPROVED,431,0,0.0,5,,
endo_resection_epiploica,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,1.0,1.0
endo_resection_uterus,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,9.0,9.0
SIPET,1,pregnancy_complication,False,BINARY,APPROVED,431,0,0.0,2,1.0,1.0
meconium_stained_amniotic_fluid,3,unknown,False,BINARY,APPROVED,431,0,0.0,2,56.0,56.0
gestational_age_at_delivery_days,3,unknown,False,CONTINUOUS,APPROVED,431,0,0.0,53,,
weight_before_pregnancy,1,anthropometric,False,CONTINUOUS,APPROVED,342,89,20.6,59,,
Hb_before_delivery,2,unknown,False,CONTINUOUS,APPROVED,392,39,9.0,133,,
weight_in_pregnancy,2,anthropometric,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,187,244,56.6,57,,
BMI_after,2,anthropometric,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,184,247,57.3,159,,
gestational_age_at_PPROM_days,2,obstetric,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,16,415,96.3,11,,
