repeat,fold,status,reason,chosen_C,n_active_sources,intercept,l2_coef_norm,outer_pr_auc,outer_auroc,outer_brier,outer_brier_skill,outer_logloss,outer_calibration_intercept,outer_calibration_slope,outer_prevalence,outer_train_prevalence
7,1,OK,,0.1778279410038923,6,-1.928100618647891,1.2946159400482233,0.35783216945497653,0.7984234234234234,0.10459820890708932,0.12886455560213816,0.33376512214523635,0.18320642680613503,1.174548262495966,0.13953488372093023,0.14202898550724638
7,2,OK,,0.1778279410038923,6,-2.117017440101158,1.2059487330200902,0.4723552455170102,0.8445945945945946,0.09781354940762968,0.18536989570217666,0.3100410251708693,0.857035100897924,1.5096320151471305,0.13953488372093023,0.14202898550724638
7,3,OK,,0.1778279410038923,6,-1.9838937530636047,1.2091322140885805,0.40623689032180343,0.8265765765765767,0.10169567262566248,0.15303803103561964,0.3234882421918917,0.5660786363571252,1.2875248346358148,0.13953488372093023,0.14202898550724638
7,4,OK,,0.1778279410038923,6,-2.0402670405819565,1.2682903276791435,0.3777863697049113,0.7668918918918919,0.1071331519370459,0.10775254282488289,0.3456679128154301,-0.23038483776425875,0.9067555814626187,0.13953488372093023,0.14202898550724638
7,5,OK,,0.31622776601683794,6,-2.104260448023367,1.4255329964910208,0.38191738866665725,0.7941787941787941,0.10916004261718851,0.14179111795470456,0.3434492875117682,0.07015178782618155,1.0956239185593308,0.14942528735632185,0.13953488372093023
8,1,OK,,0.1778279410038923,6,-2.0199705565243358,1.2080983075532499,0.48722542138021896,0.8412162162162161,0.09706064283903526,0.19164040076221212,0.30970688161768106,0.7147638656485156,1.5528440699700954,0.13953488372093023,0.14202898550724638
8,2,OK,,0.1,6,-1.9204496173798835,0.9976854157203072,0.5237450816302561,0.8783783783783785,0.09611196048289895,0.1995414043696382,0.30963976542208366,1.9078163122965623,2.2205326932973835,0.13953488372093023,0.14202898550724638
8,3,OK,,0.1778279410038923,6,-2.0294158731803043,1.229451337084902,0.44336518565427235,0.8434684684684685,0.09860453942615482,0.17878221653919746,0.3156487837589547,0.9305841472864113,1.5775244080459383,0.13953488372093023,0.14202898550724638
8,4,OK,,0.1778279410038923,6,-1.964415196891118,1.3125903877720901,0.3421531899473076,0.7396049896049897,0.11694627981525395,0.08057624701035193,0.37175684210183396,-0.19705110510573748,0.8390078102324169,0.14942528735632185,0.13953488372093023
8,5,OK,,0.1778279410038923,6,-2.1805684027156778,1.3413466488068366,0.3103487803356619,0.7567567567567568,0.11280076474225093,0.060550411437309326,0.3552582769325777,-0.4243661201616845,0.8119007968203703,0.13953488372093023,0.14202898550724638
9,1,OK,,0.1,6,-2.0189748357147317,1.0007546487394061,0.48113275613275613,0.8738738738738738,0.09702179439432405,0.19196394604564726,0.312912782663753,2.107441899871465,2.6160577727374648,0.13953488372093023,0.14202898550724638
9,2,OK,,0.31622776601683794,6,-2.0722466546394287,1.4053315590522915,0.3957661701693532,0.8128898128898129,0.10884244335563405,0.1442880618973973,0.3405580910095966,0.09500959182913808,0.959053667638534,0.14942528735632185,0.13953488372093023
9,3,OK,,0.1,6,-1.911311399945631,1.018689275207605,0.46371370216128127,0.8468468468468469,0.09994678216839452,0.16760348566064664,0.3216809550251561,1.1786444185765363,1.8063196777256452,0.13953488372093023,0.14202898550724638
9,4,OK,,0.31622776601683794,6,-2.272224379704485,1.6968277427287481,0.23470650376168484,0.6981981981981982,0.1269285760897563,-0.057111614950831724,0.4045694024425888,-0.7789664626828828,0.4575351198073238,0.13953488372093023,0.14202898550724638
9,5,OK,,0.1,6,-1.9451530654140818,1.068353491297024,0.4036986183543387,0.7826576576576577,0.10545980439148633,0.12168884606529429,0.3420581484446553,0.25629800847355155,1.313420335505822,0.13953488372093023,0.14202898550724638
10,1,OK,,0.31622776601683794,6,-1.9298490612994625,1.4040951900486713,0.5362442101308498,0.8461538461538463,0.10060909822682797,0.20901806519416322,0.31889632028005926,0.5327724355776605,1.402992542654406,0.14942528735632185,0.13953488372093023
10,2,OK,,0.31622776601683794,6,-2.2841947423020894,1.4497827799523244,0.4317035723354505,0.7747747747747746,0.1091556119896318,0.09090869191103701,0.354611587718698,-0.379855493754692,0.7690972099090629,0.13953488372093023,0.14202898550724638
10,3,OK,,0.1,6,-1.96988226221472,1.1018140156018912,0.28268221703756297,0.7308558558558559,0.11120843244854034,0.07381198747005746,0.3583297627420236,0.11639336016322763,1.044476317630942,0.13953488372093023,0.14202898550724638
10,4,OK,,0.1778279410038923,6,-2.0674965748472798,1.1878338777488353,0.36082047432853886,0.8445945945945946,0.10043207846454437,0.1635617452806879,0.3142747570142086,1.0689247968219953,1.8056282751667825,0.13953488372093023,0.14202898550724638
10,5,OK,,0.1778279410038923,6,-1.9419630156918055,1.2588110860580757,0.35591257720568065,0.8434684684684685,0.10397813573579386,0.13402877134999558,0.3197521950767401,0.19639751781712972,1.147415956808667,0.13953488372093023,0.14202898550724638
